corroboration_run_id,station_id,channel,verdict,sustained_offset,tier,start_hour,end_hour,duration_hours,n_flagged_hours,full_period_covered_hours,full_period_median_residual,full_period_residual_mad,full_period_fraction_abs_residual_z_ge_3,median_offset_level,offset_stability_mad,mean_offset_score,peak_abs_offset_score,confirmed_offset_value,spatial_available_hours,spatial_median_residual,spatial_corroboration,resolved_episode_count,resolved_episode_ids
calibration_pressure_IJABAL14_02,IJABAL14,pressure,confirmed,True,HIGH,2026-02-11 18:00:00+00:00,2026-05-30 22:00:00+00:00,2597.0,1897,5974,-10.629999999999995,1.57000000000005,0.06368267831149928,-11.25,0.9200000000000728,-3.6234469826144293,7.239837398373232,-11.25,2472,-8.129999999999995,same_direction,0,
calibration_pressure_IJABAL14_03,IJABAL14,pressure,confirmed,True,HIGH,2026-06-12 00:00:00+00:00,2026-06-30 23:00:00+00:00,456.0,456,5974,-10.629999999999995,1.57000000000005,0.06368267831149928,-8.490000000000009,0.6000000000000227,-4.370260761758811,6.249999999999886,-8.490000000000009,454,-5.25,same_direction,0,
,IJABAL14,temp,clean,False,,,,,0,5974,-0.1999999999999993,0.9999999999999991,0.08525084873632592,,,,,,0,,unavailable,0,
,IJABAL15,dewpoint,clean,False,,,,,0,5743,-1.3000000000000007,1.6999999999999993,0.08850902184235518,,,,,,0,,unavailable,0,
,IJABAL15,pressure,clean,False,,,,,0,5914,-5.1200000000000045,3.050000000000068,0.3237674760853569,,,,,,0,,unavailable,0,
,IJABAL15,temp,clean,False,,,,,0,5743,-1.3000000000000007,0.8000000000000007,0.0953041410739053,,,,,,0,,unavailable,0,
,IJABAL16,dewpoint,clean,False,,,,,0,5239,1.6,1.7999999999999994,0.08632640201638311,,,,,,0,,unavailable,0,
,IJABAL16,pressure,clean,False,,,,,0,5445,-4.059999999999945,4.789999999999964,0.23837326353935978,,,,,,0,,unavailable,0,
,IJABAL16,temp,clean,False,,,,,0,5239,-0.09999999999999787,0.9000000000000021,0.08939160992752032,,,,,,0,,unavailable,0,
,IJANZO2,dewpoint,clean,False,,,,,0,5378,-0.10000000000000142,1.5999999999999996,0.08714285714285715,,,,,,0,,unavailable,0,
,IJANZO2,pressure,clean,False,,,,,0,5753,-3.0400000000000773,2.0000000000001137,0.1943127962085308,,,,,,0,,unavailable,0,
,IJANZO2,temp,clean,False,,,,,0,5378,0.40000000000000036,0.9000000000000004,0.09655937846836848,,,,,,0,,unavailable,0,
,IJANZO3,dewpoint,clean,False,,,,,0,5538,0.0,1.5999999999999999,0.07608695652173914,,,,,,0,,unavailable,0,
,IJANZO3,pressure,clean,False,,,,,0,5779,-4.1299999999999955,3.1000000000000227,0.1971326164874552,,,,,,0,,unavailable,0,
,IJANZO3,temp,clean,False,,,,,0,5538,-0.3999999999999986,0.8999999999999986,0.09092796346273614,,,,,,0,,unavailable,0,
,IJANZO4,dewpoint,insufficient,False,,,,,0,687,0.5,1.9,,,,,,,0,,unavailable,0,
,IJANZO4,pressure,insufficient,False,,,,,0,690,-5.100000000000023,4.110000000000014,,,,,,,0,,unavailable,0,
,IJANZO4,temp,insufficient,False,,,,,0,687,-0.1999999999999993,0.6000000000000014,0.05263157894736842,,,,,,0,,unavailable,0,
,IMISRA12,dewpoint,clean,False,,,,,0,4036,-0.29999999999999893,1.3,0.0773497688751926,,,,,,0,,unavailable,0,
calibration_pressure_IMISRA12_01,IMISRA12,pressure,confirmed,True,HIGH,2026-03-10 04:00:00+00:00,2026-03-23 10:00:00+00:00,319.0,319,5572,-4.1200000000000045,4.430000000000007,0.2697290930506478,-4.585000000000036,0.9599999999999227,3.4640494381369678,3.784999999999968,-4.585000000000036,235,0.0,inconclusive,0,
,IMISRA12,temp,clean,False,,,,,0,4036,-0.09999999999999787,0.6999999999999993,0.09550561797752809,,,,,,0,,unavailable,0,
,IMISRA13,dewpoint,clean,False,,,,,0,5810,0.09999999999999876,1.6000000000000014,0.07145536384096024,,,,,,0,,unavailable,0,
