model,split,validation_precision,validation_recall,validation_f1,validation_accuracy,test_precision,test_recall,test_f1,test_accuracy,selected_by_validation
EF-HGB,random,0.9244060475161987,0.9244060475161987,0.9244060475161987,0.9892489632928889,0.914651493598862,0.925845932325414,0.9202146690518784,0.9885834229253059,True
HGB,random,0.923576063446287,0.9222462203023758,0.9229106628242074,0.9890441816413249,0.9139402560455192,0.9251259899208063,0.9194991055456172,0.9884810320995239,False
EF-HGB,spaced,0.9081196581196581,0.9100642398286938,0.9090909090909091,0.9869558545194128,0.914001421464108,0.914001421464108,0.914001421464108,0.9876195835678109,True
HGB,spaced,0.9068454481298518,0.9172019985724482,0.9119943222143363,0.9873139291012328,0.9029957203994294,0.8997867803837953,0.9013883944464223,0.9858290274722464,False
