model,split,validation_precision,validation_precision_std,validation_recall,validation_recall_std,validation_f1,validation_f1_std,validation_accuracy,validation_accuracy_std,test_precision,test_precision_std,test_recall,test_recall_std,test_f1,test_f1_std,test_accuracy,test_accuracy_std,validation_minimum_metric,selected_by_validation
HGB,random,0.923576063446287,,0.9222462203023758,,0.9229106628242074,,0.9890441816413249,,0.9139402560455192,,0.9251259899208063,,0.9194991055456172,,0.9884810320995239,,0.9222462203023758,True
RGFN,random,0.8965866301534484,0.027804377653484782,0.8980561555075595,0.01008690438372552,0.8970481264366675,0.01172282822667711,0.9853171555828599,0.0019405020050394994,0.8973578134560706,0.02282751605986201,0.8938804895608353,0.009957612902531393,0.8953945126118326,0.008056184050707228,0.9851328520964522,0.0013910651937589793,0.8965866301534484,False
HGB,spaced,0.9068454481298518,,0.9172019985724482,,0.9119943222143363,,0.9873139291012328,,0.9029957203994294,,0.8997867803837953,,0.9013883944464223,,0.9858290274722464,,0.9068454481298518,True
RGFN,spaced,0.8840580417108133,0.041479789329321,0.8882226980728051,0.021974561467773636,0.8852462793250535,0.011759886594552382,0.9834467236175763,0.002276072614095101,0.8909101340408314,0.03624344657873731,0.911584932480455,0.022489925181593456,0.9003560242626587,0.008245300477879445,0.985440221005781,0.001725650540276121,0.8840580417108133,False
